pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
153.075,-88.725,-90,top,C1,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
125.2,-103.6,-45,top,C10,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
128.8,-100,-45,top,C11,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
136.025,-92.6,-45,top,C12,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
128.4,-79.6,45,top,C13,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
124.816377,-75.941377,45,top,C14,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
119.8,-71,45,top,C15,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
102.6,-75.4,135,top,C16,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
99,-79,135,top,C17,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
94.4,-83.6,135,top,C18,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
83.8,-98.8,-90,top,C19,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
169.775,-88.8,-90,top,C2,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
113.475,-70.85,90,top,C20,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,10u/X7R/50V,smt,TRUE
107.4,-109.6,45,top,C21,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
109,-111.2,45,top,C22,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1u,smt,TRUE
188.800002,-78.700003,0,top,C23,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,10u/X7R/50V,smt,TRUE
188.800002,-76.300003,0,top,C24,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,10u/X7R/50V,smt,TRUE
188.200002,-74.100003,180,top,C25,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
186.000002,-84.900003,0,top,C26,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
185.100002,-71.962503,90,top,C27,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
181.600002,-71.500003,90,top,C28,,CP_Elec_4x5.8,22u/16V,smt,TRUE
176.600002,-71.500003,90,top,C29,,CP_Elec_4x5.8,22u/16V,smt,TRUE
134.425,-94.275,135,top,C3,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2.2u/X7R,smt,TRUE
156.0875,-97.95,0,top,C30,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
156.125,-103.875,0,top,C31,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
79.1,-106.1,0,top,C32,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
72.1,-106.05,0,top,C33,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
55.45,-111.55,-90,top,C34,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,220p,smt,TRUE
78.65,-98.8,-90,top,C35,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
80.7125,-111.75,0,top,C36,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
106.6,-118.1625,-90,top,C37,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
104.2,-118.1625,-90,top,C38,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
101.8,-118.1625,-90,top,C39,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
122.175,-73.15,-135,top,C4,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2.2u/X7R,smt,TRUE
99.4,-118.1625,-90,top,C40,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
97,-118.1625,-90,top,C41,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
94.8,-118.1625,-90,top,C42,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
61.3,-108.5625,-90,top,C43,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
142.525,-98,90,top,C44,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
91.775,-91.7875,-90,top,C45,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
61.3,-115.6,-90,top,C46,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
115.6,-112.8,90,top,C47,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
113.2,-112.8,90,top,C48,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
96.2,-98.4,-135,top,C5,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
100.6,-102.2,-135,top,C6,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
105,-107.4,-135,top,C7,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
89.8,-108,-90,top,C8,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
120.6,-108.2,-45,top,C9,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100n,smt,TRUE
70.2,-78.8,0,top,D1,,LED_Cree-PLCC4_3.2x2.8mm_CCW,CLV1L-FKB,smt,TRUE
67.675,-101.95,-90,top,D10,,D_SMF,VS-1EFH01-M3/I,smt,TRUE
53.025,-111.65,-90,top,D11,,D_SOD-323,SD15-01FTG,smt,TRUE
51.225,-106.3875,180,top,D12,,SOT-23-3,SM24CANB-02HTG,smt,TRUE
130.2,-143.8,-90,top,D13,,D_SOD-323,SD15-01FTG,smt,TRUE
133.2,-143.8,-90,top,D14,,D_SOD-323,SD15-01FTG,smt,TRUE
120,-140.4,0,top,D15,,D_SOD-323,SD05-01FTG,smt,TRUE
130.3,-151.15,90,top,D16,,D_SOD-323,SD15-01FTG,smt,TRUE
132.4,-151.1,90,top,D17,,D_SOD-323,SD15-01FTG,smt,TRUE
148,-138.6,90,top,D18,,D_SOD-323,SD15-01FTG,smt,TRUE
148.9,-133.65,0,top,D19,,D_SOD-323,SD15-01FTG,smt,TRUE
84.2,-70.3,0,top,D2,,LED_0805_2012Metric,RED,smt,TRUE
143.6,-141.1,90,top,D20,,D_SOD-323,SD15-01FTG,smt,TRUE
145.65,-141.1,90,top,D21,,D_SOD-323,SD15-01FTG,smt,TRUE
134.5,-151.1,90,top,D22,,D_SOD-323,SD15-01FTG,smt,TRUE
136.6,-150.1,90,top,D23,,D_SOD-323,SD15-01FTG,smt,TRUE
124.6,-143.8,-90,top,D24,,D_SOD-323,SD15-01FTG,smt,TRUE
127.3,-143.8,-90,top,D25,,D_SOD-323,SD15-01FTG,smt,TRUE
64.75,-120,0,top,D26,,D_SOD-323,SD12-01FTG,smt,TRUE
124.057538,-167.342462,45,top,D27,,D_SOD-323,SD12-01FTG,smt,TRUE
64.8,-122,0,top,D28,,D_SOD-323,SD05-01FTG,smt,TRUE
122.6,-165.8,45,top,D29,,D_SOD-323,SD05-01FTG,smt,TRUE
70.5,-70.3,0,top,D3,,LED_0805_2012Metric,GREEN,smt,TRUE
136.2,-143.8,-90,top,D30,,D_SOD-323,SD15-01FTG,smt,TRUE
139.1,-143.8,-90,top,D31,,D_SOD-323,SD15-01FTG,smt,TRUE
84.2625,-73.2,0,top,D4,,LED_0805_2012Metric,DEEP RED,smt,TRUE
70.5,-73.2,0,top,D5,,LED_0805_2012Metric,YELLOW,smt,TRUE
179.05,-97.7,0,top,D6,,D_SMB,SK22,smt,TRUE
179.049999,-93,0,top,D7,,D_SMB,SMBJ15A,smt,TRUE
169.575,-97.325,0,top,D8,,SOT-23-3,SM24CANB-02HTG,smt,TRUE
169.575,-103.2375,0,top,D9,,SOT-23-3,SM24CANB-02HTG,smt,TRUE
155.5,-141.7,-90,top,F1,,Fuse_1206_3216Metric,1206L035/16YR,smt,TRUE
86.5,-127.5,-135,top,F2,,Fuse_2920_7451Metric,2920L600/16MR,smt,TRUE
