"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D15,D29,D28";"D_SOD-323";3;"SD05-01FTG";;;
2;"D19,D25,D21,D14,D11,D24,D16,D13,D31,D17,D30,D20,D18,D22,D23";"D_SOD-323";15;"SD15-01FTG";;;
3;"J1";"MX34028NF2";1;"MX34028NF2";;;
4;"R53,R27,R47,R49,R31,R51,R37,R33,R43,R29,R45,R41,R39,R35";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";14;"470R";;;
5;"R15,R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k-DNP";;;
6;"IC3,IC10,IC9,IC7,IC5,IC4,IC6,IC8";"SOIC127P610X350-8N";8;"ILD213T";;;
7;"U8,U9,U7,U5,U6,U10,U11";"TO-252-4";7;"BTS6142D";;;
8;"J5";"PinHeader_2x10_P2.54mm_Vertical";1;"DEBUG1";;;
9;"R38,R25,R62,R24,R42,R46,R71,R50,R70,R34,R74,R30,R8,R26,R66,R17,R75,R91,R59,R58,R63,R67,R92,R55";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";24;"10k";;;
10;"C7,C16,C38,C41,C27,C26,C18,C32,C46,C37,C15,C45,C48,C47,C12,C19,C39,C14,C5,C8,C33,C13,C2,C17,C43,C9,C10,C36,C31,C40,C6,C42,C11,C35,C44,C1,C25,C30,C21";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";39;"100n";;;
11;"R4,R23,R61,R73,R64,R89,R68,R56,R72,R65,R87,R90,R57,R2,R69,R88,R16,R22,R60";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";19;"1k";;;
12;"Q5,Q2,Q1,Q6,Q4,Q3,Q7";"SOT-23";7;"BSS138";;;
13;"JP2,JP3";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"CAN_TERM";;;
14;"D2";"LED_0805_2012Metric";1;"RED";;;
15;"SW2";"SW_SPST_PTS645";1;"RESET";;;
16;"D10";"D_SMF";1;"VS-1EFH01-M3/I";;;
17;"K1";"G8N1LASDC12";1;"G8N-1L-AS_DC12";;;
18;"S3,S2,S1";"BTS3800SLHTSA1";3;"BTS3800SLHTSA1";;;
19;"FB2";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"220ohm / 10MHZ";;;
20;"D5";"LED_0805_2012Metric";1;"YELLOW";;;
21;"R19,R14,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"120R";;;
22;"R78,R83,R80,R86,R76";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"3k6, 0.5%";;;
23;"C29,C28";"CP_Elec_4x5.8";2;"22u/16V";;;
24;"R12,R32,R44,R40,R52,R11,R9,R28,R36,R48";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";10;"0R";;;
25;"C24,C20,C23";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"10u/X7R/50V";;;
26;"F1";"Fuse_1206_3216Metric";1;"1206L035/16YR";;;
27;"F2";"Fuse_2920_7451Metric";1;"2920L600/16MR";;;
28;"R20,R21";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10R-thick_film";;;
29;"F5";"Fuse_1206_3216Metric";1;"1206L010/60WR";;;
30;"R84,R79,R81,R77";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1k, 0.5%";;;
31;"U1";"LQFP-144_20x20mm_P0.5mm";1;"STM32F429ZITx";;;
32;"J7";"FTSH-107-XX-YYY-DV-K";1;"FTSH-107-01-F-DV-K";;;
33;"R82";"R_2512_6332Metric";1;"220R, 1W";;;
34;"R6,R54,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"220R";;;
35;"X1";"Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm";1;"ASE-8.000MHz";;;
36;"D4";"LED_0805_2012Metric";1;"DEEP RED";;;
37;"D6";"D_SMB";1;"SK22";;;
38;"FB1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"600ohm";;;
39;"IC2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ISL3172EIBZ";;;
40;"U4,U3";"SOIC-8_3.9x4.9mm_P1.27mm";2;"SN65HVD233";;;
41;"D26,D27";"D_SOD-323";2;"SD12-01FTG";;;
42;"D12,D8,D9";"SOT-23-3";3;"SM24CANB-02HTG";;;
43;"R85";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"220R, 0.5%";;;
44;"J6";"PinHeader_2x10_P2.54mm_Vertical";1;"DEBUG2";;;
45;"R3,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"15k";;;
